	subject_id	subject_snippet	property	object_id	object_label	object_snippet	snippet
0		Le Porwl., // d'un philosophe	http://zora.uni-trier.de:11000/entity/P25	http://zora.uni-trier.de:11000/entity/Q3030	préjugé	Vorurteile	So finden wir in dem Sammelwerk Le Porwl., // d'un philosophe, das 1770 unter dem Namen des Henri-Iosenh , Ul e (1719-1793) veröffentlicht worden ist (1], an erster Stelle ein Gedicht über »Das Vorurteil« [2] und seinen verderblichen Einfluß: Vorurteile - darunter versteht der Verfasser sowohl Standesunterschiede als auch die Erbsünde - seien Tyrannen die uns unterjochen, und wirkten furchtbarer als das schlimmste Gift.
1	http://www.wikidata.org/entity/Q345858	Henri-Iosenh , Ul e	http://zora.uni-trier.de:11000/entity/P22	http://zora.uni-trier.de:11000/entity/Q3030	préjugé	Vorurteile	So finden wir in dem Sammelwerk Le Porwl., // d'un philosophe, das 1770 unter dem Namen des Henri-Iosenh , Ul e (1719-1793) veröffentlicht worden ist (1], an erster Stelle ein Gedicht über »Das Vorurteil« [2] und seinen verderblichen Einfluß: Vorurteile - darunter versteht der Verfasser sowohl Standesunterschiede als auch die Erbsünde - seien Tyrannen die uns unterjochen, und wirkten furchtbarer als das schlimmste Gift.
2		Portefeuille eines Philosophen	http://zora.uni-trier.de:11000/entity/P25	http://zora.uni-trier.de:11000/entity/Q2831	critique sociale	Bewertung	Wohlgemut und zuversichtlich eingestimmt, blättern wir weiter im Portefeuille eines Philosophen und stoßen auf Betrachtungen über die Prozesse wegen ehelicher Impotenz, wie sie noch im 17. Jh. von Ehefrauen angestrengt werden konnten, stimmen dem Verfasser sicher zu, wenn er die öffentliche Untersuchung oder den probeweisen Nachweis der Potenz als ein unwürdiges Verfahren bezeichnet.|3] Bei dieser Bewertung bleibt er allerdings nicht stehen.
3	http://www.wikidata.org/entity/Q345858	er	http://zora.uni-trier.de:11000/entity/P22	http://zora.uni-trier.de:11000/entity/Q2831	critique sociale	Bewertung	Jh. von Ehefrauen angestrengt werden konnten, stimmen dem Verfasser sicher zu, wenn er die öffentliche Untersuchung oder den probeweisen Nachweis der Potenz als ein unwürdiges Verfahren bezeichnet.|3] Bei dieser Bewertung bleibt er allerdings nicht stehen.
4	http://zora.uni-trier.de:11000/entity/Q963	Voltaire	http://zora.uni-trier.de:11000/entity/P22	http://zora.uni-trier.de:11000/entity/Q3030	préjugé	Vorurteilen	Grundvorstellungen der Aufklärung: Vorurteil, Philosophie, Mensch In der ersten Ausgabe seines Dictionnaire philosophique portatif (1764) hat Voltaire den »Vorurteilen« einen Artikel gewidmet, in dem er die schlechten- also dure vernünftige Erkenntnisse zu ersetzenden - von den allgemein akzeptierten, de« »notwendigen« Vorurteilen unterscheidet.
5	http://www.wikidata.org/entity/Q656976	Dictionnaire philosophique portatif	http://zora.uni-trier.de:11000/entity/P25	http://zora.uni-trier.de:11000/entity/Q3030	préjugé	Vorurteilen	Grundvorstellungen der Aufklärung: Vorurteil, Philosophie, Mensch In der ersten Ausgabe seines Dictionnaire philosophique portatif (1764) hat Voltaire den »Vorurteilen« einen Artikel gewidmet, in dem er die schlechten- also dure vernünftige Erkenntnisse zu ersetzenden - von den allgemein akzeptierten, de« »notwendigen« Vorurteilen unterscheidet.
6	http://zora.uni-trier.de:11000/entity/Q963	Voltaire	http://zora.uni-trier.de:11000/entity/P22	http://zora.uni-trier.de:11000/entity/Q2909	grotesque	Absurdität	Voltaire verweist hier mit der Absurdität der Kombinationen oder Relationen auf die mangelnde Einsicht in tatsächliche Zusammenhänge der Natur.
7	http://www.wikidata.org/entity/Q656976	Dictionnaire philosophique	http://zora.uni-trier.de:11000/entity/P25	http://zora.uni-trier.de:11000/entity/Q2909	grotesque	Absurdität	Andere Vorurteile, in denen vordergründige Wahrnehmungen natürlicher Erscheinungen ursächlich miteinander verknüpft werden — Aale seien gut gegen Lähmung, weil sie quicklebendig sind, der Mond habe Einfluß auf Krankheiten, weil einmal zufällig das Fieber eines Kranken bei abnehmendem Mond anstieg-müßten als Scharlatanerie, als eher unfreiwilliger Betrug eingestuft werden: [...] ces idées, et mille autres, ont été des erreurs d’anciens charlatans, qui jugèrent sans AalSOnner’ et qUi’ étant tromPés> trompèrent les autres (Voltaire, Dictionnaire philosophique, Art. »Préjugés«). Voltaire verweist hier mit der Absurdität der Kombinationen oder Relationen auf die mangelnde Einsicht in tatsächliche Zusammenhänge der Natur.
8	http://zora.uni-trier.de:11000/entity/Q963	Voltaire	http://zora.uni-trier.de:11000/entity/P22	http://zora.uni-trier.de:11000/entity/Q2985	nature	Natur	Voltaire verweist hier mit der Absurdität der Kombinationen oder Relationen auf die mangelnde Einsicht in tatsächliche Zusammenhänge der Natur.
9	http://www.wikidata.org/entity/Q656976	Dictionnaire philosophique	http://zora.uni-trier.de:11000/entity/P25	http://zora.uni-trier.de:11000/entity/Q2985	nature	Natur	Andere Vorurteile, in denen vordergründige Wahrnehmungen natürlicher Erscheinungen ursächlich miteinander verknüpft werden — Aale seien gut gegen Lähmung, weil sie quicklebendig sind, der Mond habe Einfluß auf Krankheiten, weil einmal zufällig das Fieber eines Kranken bei abnehmendem Mond anstieg-müßten als Scharlatanerie, als eher unfreiwilliger Betrug eingestuft werden: [...] ces idées, et mille autres, ont été des erreurs d’anciens charlatans, qui jugèrent sans AalSOnner’ et qUi’ étant tromPés> trompèrent les autres (Voltaire, Dictionnaire philosophique, Art. »Préjugés«). Voltaire verweist hier mit der Absurdität der Kombinationen oder Relationen auf die mangelnde Einsicht in tatsächliche Zusammenhänge der Natur.
