scholarly_work	subject_id	subject_snippet	property	object_id	object_label	object_snippet	snippet
Bauer-Funke_1998b	http://data.mimotext.uni-trier.de/entity/Q3985	Les cent vingt journées de Sodome	http://data.mimotext.uni-trier.de/entity/P36	http://data.mimotext.uni-trier.de/entity/Q2969	libertinage	libertinistischen Roman	Hauptwerke Nach dem in der Bastille entstandenen libertinistischen Roman Les cent vingt journées de Sodome (1785) publiziert Sade die 1787 noch im Gefängnis begonnenen und während der Revolution überarbeiteten Fassungen der Geschichte seiner Heldin Justine.
Bauer-Funke_1998b	http://data.mimotext.uni-trier.de/entity/Q3984	Les rêveries du promeneur solitaire	http://data.mimotext.uni-trier.de/entity/P36	http://data.mimotext.uni-trier.de/entity/Q842	ROUSSEAU, Jean-Jacques 	Rousseau	Les rêveries du promeneur solitaire (1776-1778) erscheinen ebenfalls erst postum 1782 mit den Confessions. In zehn Spaziergängen lässt der einsame und von der Gesellschaft abgelehnte Rousseau seine Erinnerungen an glückliche Momente seines Lebens, seine moralphilosophischen und gesellschaftspolitischen Überlegungen sowie seine Empfindungen, etwa für die Natur, Revue passieren.
Bauer-Funke_1998b	http://data.mimotext.uni-trier.de/entity/Q3984	Les rêveries du promeneur solitaire	http://data.mimotext.uni-trier.de/entity/P36	http://data.mimotext.uni-trier.de/entity/Q3086	sentiment	Empfindungen	Les rêveries du promeneur solitaire (1776-1778) erscheinen ebenfalls erst postum 1782 mit den Confessions. In zehn Spaziergängen lässt der einsame und von der Gesellschaft abgelehnte Rousseau seine Erinnerungen an glückliche Momente seines Lebens, seine moralphilosophischen und gesellschaftspolitischen Überlegungen sowie seine Empfindungen, etwa für die Natur, Revue passieren.
Bauer-Funke_1998b	http://data.mimotext.uni-trier.de/entity/Q3984	Les rêveries du promeneur solitaire	http://data.mimotext.uni-trier.de/entity/P36	http://data.mimotext.uni-trier.de/entity/Q3005	nature	Natur	Les rêveries du promeneur solitaire (1776-1778) erscheinen ebenfalls erst postum 1782 mit den Confessions. In zehn Spaziergängen lässt der einsame und von der Gesellschaft abgelehnte Rousseau seine Erinnerungen an glückliche Momente seines Lebens, seine moralphilosophischen und gesellschaftspolitischen Überlegungen sowie seine Empfindungen, etwa für die Natur, Revue passieren.
Bauer-Funke_1998b	http://data.mimotext.uni-trier.de/entity/Q3978	Le neveu de Rameau	http://data.mimotext.uni-trier.de/entity/P36	http://data.mimotext.uni-trier.de/entity/Q3080	satire	philosophisch-satirischen Dialog	"Diderot verfasst Le neveu de Rameau, satire seconde um 1762. Der Roman beinhaltet einen philosophisch-satirischen Dialog zwischen einer dem Neffen des berühmten Komponisten Rameau nachempfundenen Gestalt und einer Figur, die sich als „Moi"" ausgibt."
Bauer-Funke_1998b	http://data.mimotext.uni-trier.de/entity/Q3978	Le neveu de Rameau	http://data.mimotext.uni-trier.de/entity/P36	http://data.mimotext.uni-trier.de/entity/Q3039	philosophie	philosophisch-satirischen Dialog	"Diderot verfasst Le neveu de Rameau, satire seconde um 1762. Der Roman beinhaltet einen philosophisch-satirischen Dialog zwischen einer dem Neffen des berühmten Komponisten Rameau nachempfundenen Gestalt und einer Figur, die sich als „Moi"" ausgibt."
Bauer-Funke_1998b	http://data.mimotext.uni-trier.de/entity/Q3978	Le neveu de Rameau	http://data.mimotext.uni-trier.de/entity/P36	http://data.mimotext.uni-trier.de/entity/Q2867	dialogue	Dialog	"Diderot verfasst Le neveu de Rameau, satire seconde um 1762. Der Roman beinhaltet einen philosophisch-satirischen Dialog zwischen einer dem Neffen des berühmten Komponisten Rameau nachempfundenen Gestalt und einer Figur, die sich als „Moi"" ausgibt."
Bauer-Funke_1998b	http://data.mimotext.uni-trier.de/entity/Q3978	Le neveu de Rameau	http://data.mimotext.uni-trier.de/entity/P36	http://data.mimotext.uni-trier.de/entity/Q2787	art	Kunst	"Diderot verfasst Le neveu de Rameau, satire seconde um 1762. Der Roman beinhaltet einen philosophisch-satirischen Dialog zwischen einer dem Neffen des berühmten Komponisten Rameau nachempfundenen Gestalt und einer Figur, die sich als „Moi"" ausgibt. Dieses „Moi"" tritt in vielen Werken Diderots auf und lässt sich als Maske des Autors deuten. Der Neffe, eine stadtbekannte Persönlichkeit, leidet an dem Konflikt zwischen dem Traum vom genialen Künstlertum und der erniedrigenden Rolle als schmarotzender Unterhalter des reichen Finanziers Bertin. „Moi"" ist dagegen ein angesehener und etablierter Philosoph. Letztlich überlässt Diderot es dem Leser, sich ein Urteij darüber zu bilden, welche der beiden Lebensarten die bessere sei Jacques le Der um 1771-1773 geschriebene Roman Jacques le fataliste et soq fataliste maître präsentiert sich als Gespräch zwischen dem Diener Jacques und seinem Herrn, die durch Frankreich reiten und sich dabej über Willensfreiheit und Fatalismus unterhalten."
Bauer-Funke_1998b	http://data.mimotext.uni-trier.de/entity/Q3978	Le neveu de Rameau	http://data.mimotext.uni-trier.de/entity/P36	http://data.mimotext.uni-trier.de/entity/Q2998	morale	Moral	"Diderot verfasst Le neveu de Rameau, satire seconde um 1762. Der Roman beinhaltet einen philosophisch-satirischen Dialog zwischen einer dem Neffen des berühmten Komponisten Rameau nachempfundenen Gestalt und einer Figur, die sich als „Moi"" ausgibt. Dieses „Moi"" tritt in vielen Werken Diderots auf und lässt sich als Maske des Autors deuten. Der Neffe, eine stadtbekannte Persönlichkeit, leidet an dem Konflikt zwischen dem Traum vom genialen Künstlertum und der erniedrigenden Rolle als schmarotzender Unterhalter des reichen Finanziers Bertin. „Moi"" ist dagegen ein angesehener und etablierter Philosoph. Letztlich überlässt Diderot es dem Leser, sich ein Urteij darüber zu bilden, welche der beiden Lebensarten die bessere sei Jacques le Der um 1771-1773 geschriebene Roman Jacques le fataliste et soq fataliste maître präsentiert sich als Gespräch zwischen dem Diener Jacques und seinem Herrn, die durch Frankreich reiten und sich dabej über Willensfreiheit und Fatalismus unterhalten."
Bauer-Funke_1998b	http://data.mimotext.uni-trier.de/entity/Q3971	Paul et Virginie	http://data.mimotext.uni-trier.de/entity/P36	http://data.mimotext.uni-trier.de/entity/Q3086	sentiment	Gefühle	Eine unglückliche Liebesgeschichte gibt Anlass, große Gefühle sowie Leidenschaften und pathetische Liebesszenen zu schildern. Diese finden sich sowohl in Briefromanen, z. Die Verlegung einer leidenschaftlichen und tragischen Liebeshandlung in Schlossruinen und Kellergewölbe soll im genre sombre (auch roman noir) einen besonderen Nervenkitzel beim Publikum erzeugen.
Bauer-Funke_1998b	http://data.mimotext.uni-trier.de/entity/Q3971	Paul et Virginie	http://data.mimotext.uni-trier.de/entity/P36	http://data.mimotext.uni-trier.de/entity/Q3025	passion	Leidenschaften	Eine unglückliche Liebesgeschichte gibt Anlass, große Gefühle sowie Leidenschaften und pathetische Liebesszenen zu schildern. Diese finden sich sowohl in Briefromanen, z. Die Verlegung einer leidenschaftlichen und tragischen Liebeshandlung in Schlossruinen und Kellergewölbe soll im genre sombre (auch roman noir) einen besonderen Nervenkitzel beim Publikum erzeugen.
Bauer-Funke_1998b	http://data.mimotext.uni-trier.de/entity/Q3971	Paul et Virginie	http://data.mimotext.uni-trier.de/entity/P36	http://data.mimotext.uni-trier.de/entity/Q2776	amour	Liebesszenen	Eine unglückliche Liebesgeschichte gibt Anlass, große Gefühle sowie Leidenschaften und pathetische Liebesszenen zu schildern. Diese finden sich sowohl in Briefromanen, z. Die Verlegung einer leidenschaftlichen und tragischen Liebeshandlung in Schlossruinen und Kellergewölbe soll im genre sombre (auch roman noir) einen besonderen Nervenkitzel beim Publikum erzeugen.
Bauer-Funke_1998b	http://data.mimotext.uni-trier.de/entity/Q3971	Paul et Virginie	http://data.mimotext.uni-trier.de/entity/P36	http://data.mimotext.uni-trier.de/entity/Q2776	amour	Liebesge-schichte	Der letzte Band enthält den Roman Paul et Virginie (1788), der großen Anklang beim Publikum findet. Die Geschichte dient dem Autor dazu, seine in den ersten drei Bänden entworfenen Theorien zu veranschaulichen. Die Handlung spielt im exotischen Ambiente der Ile de France (Mauritius), die Bernardin de Saint-Pierre aus eigener Anschauung kennt. Dqs Glück der naturnahen Gemeinschaft wird zerstört, als Virginie eine Reise nach Frankreich antreten muss.
