scholarly_work	subject_id	subject_snippet	property	object_id	object_label	object_snippet	snippet
Bauer-Funke_1998b	http://data.mimotext.uni-trier.de/entity/Q306	Diderot	http://data.mimotext.uni-trier.de/entity/P47			literarischen, philosophischen und kunsttheoretischen Werk	Die folgenden fast 30 Jahre widmet Diderot der Encyclopédie sowie seinem breit gefächerten literarischen, philosophischen und kunsttheoretischen Werk.
Bauer-Funke_1998b	http://data.mimotext.uni-trier.de/entity/Q306	Diderot	http://data.mimotext.uni-trier.de/entity/P47			Literatur	Diderot selbst verfasst über 1000 Artikel zu den unterschiedlichsten Themengebieten (Philosophie, Literatur, Geschichte, Moral).
Bauer-Funke_1998b	http://data.mimotext.uni-trier.de/entity/Q661	Jean-f rançois Marmontel	http://data.mimotext.uni-trier.de/entity/P47			Literatur	Jean-f rançois Marmontel ist für Literatur zuständig.
Brockmeier_1981a	http://data.mimotext.uni-trier.de/entity/Q1429	Julie ou la Nouvelle Hélo1	http://data.mimotext.uni-trier.de/entity/P36			Verstand	Die sensualistische Begründung des sozialkonforr*1^ Verhaltens wird allerdings in der zweiten Hälfte des Jahrhunderts von komplexe^ Darstellungen psychischer Motivationen oder der Interdependenz zwischen Tug«-’ und Verstand unterminiert — man denke an Rousseaus Julie ou la Nouvelle Hélo1 de Laclos’ Les Liaisons dangereuses, an de Sades Juliette.
Brockmeier_1981a	http://data.mimotext.uni-trier.de/entity/Q240	Laclos	http://data.mimotext.uni-trier.de/entity/P47			Verstand	Die sensualistische Begründung des sozialkonforr*1^ Verhaltens wird allerdings in der zweiten Hälfte des Jahrhunderts von komplexe^ Darstellungen psychischer Motivationen oder der Interdependenz zwischen Tug«-’ und Verstand unterminiert — man denke an Rousseaus Julie ou la Nouvelle Hélo1 de Laclos’ Les Liaisons dangereuses, an de Sades Juliette.
Brockmeier_1981a	http://data.mimotext.uni-trier.de/entity/Q1053	Les Liaisons dangereuses	http://data.mimotext.uni-trier.de/entity/P36			Verstand	Die sensualistische Begründung des sozialkonforr*1^ Verhaltens wird allerdings in der zweiten Hälfte des Jahrhunderts von komplexe^ Darstellungen psychischer Motivationen oder der Interdependenz zwischen Tug«-’ und Verstand unterminiert — man denke an Rousseaus Julie ou la Nouvelle Hélo1 de Laclos’ Les Liaisons dangereuses, an de Sades Juliette.
Brockmeier_1981a	http://data.mimotext.uni-trier.de/entity/Q98	Voltaire	http://data.mimotext.uni-trier.de/entity/P47			Belohnung	Die übrigen »notwendigen Vorurteile« teilt Voltaire mit den Materialisten Diderot und d’Holbach, die im Kasperltheater der ideologischen Einschüchterung auf den lieben Gott, den Teufel verzichten und Belohnung oder Bestrafung den übrigen, menschlichen Figuren anvertrauen.
Brockmeier_1981a	http://data.mimotext.uni-trier.de/entity/Q306	Diderot	http://data.mimotext.uni-trier.de/entity/P47			Belohnung	Die übrigen »notwendigen Vorurteile« teilt Voltaire mit den Materialisten Diderot und d’Holbach, die im Kasperltheater der ideologischen Einschüchterung auf den lieben Gott, den Teufel verzichten und Belohnung oder Bestrafung den übrigen, menschlichen Figuren anvertrauen.
Brockmeier_1981a	http://data.mimotext.uni-trier.de/entity/Q98	Voltaire	http://data.mimotext.uni-trier.de/entity/P47			Bestrafung	Die übrigen »notwendigen Vorurteile« teilt Voltaire mit den Materialisten Diderot und d’Holbach, die im Kasperltheater der ideologischen Einschüchterung auf den lieben Gott, den Teufel verzichten und Belohnung oder Bestrafung den übrigen, menschlichen Figuren anvertrauen.
Brockmeier_1981a	http://data.mimotext.uni-trier.de/entity/Q306	Diderot	http://data.mimotext.uni-trier.de/entity/P47			Bestrafung	Die übrigen »notwendigen Vorurteile« teilt Voltaire mit den Materialisten Diderot und d’Holbach, die im Kasperltheater der ideologischen Einschüchterung auf den lieben Gott, den Teufel verzichten und Belohnung oder Bestrafung den übrigen, menschlichen Figuren anvertrauen.
